X.seqnames	X.start	X.end	X.width	X.strand	X.gene	X.product	X.product_type	X.locus_tag	X.GO_term	X.EC_number	X.note	X.withReplication	X.PY79_rpkm	X.delta_walJ_rpkm	X.delta_mutSL_rpkm	X.GC_content	gene	product	product_type	locus_tag	GO_term	EC_number	note	withReplication	PY79_rpkm	delta_walJ_rpkm	delta_mutSL_rpkm	GC_content
PY79	19968	20558	591	+	pdxT	Glutamine amidotransferase subunit pdxT	CDS	U712_00065				codirectional	678.039	1008.69	1281.29	0.463621	pdxT	Glutamine amidotransferase subunit pdxT	CDS	U712_00065				codirectional	678.039	1008.69	1281.29	0.463621
PY79	20823	22157	1335	+	serS	Seryl-tRNA synthetase	CDS	U712_00070	GO:0004828	6.1.1.11		codirectional	438.643	991.378	1074.42	0.440449	serS	Seryl-tRNA synthetase	CDS	U712_00070	GO:0004828	6.1.1.11		codirectional	438.643	991.378	1074.42	0.440449
PY79	22496	23149	654	-	dck	Deoxyadenosine/deoxycytidine kinase	CDS	U712_00075	GO:0004136	2.7.1.76		head-on	302.108	524.852	560.321	0.376147	dck	Deoxyadenosine/deoxycytidine kinase	CDS	U712_00075	GO:0004136	2.7.1.76		head-on	302.108	524.852	560.321	0.376147
PY79	23868	25151	1284	-	yaaH	Spore germination protein yaaH	CDS	U712_00085				head-on	16.8255	37.2317	33.6333	0.459502	yaaH	Spore germination protein yaaH	CDS	U712_00085				head-on	16.8255	37.2317	33.6333	0.459502
PY79	25221	25766	546	-	yaaI	Uncharacterized isochorismatase family protein yaaI	CDS	U712_00090	GO:0008936	3.5.1.19		head-on	33.3426	19.9407	33.6073	0.377289	yaaI	Uncharacterized isochorismatase family protein yaaI	CDS	U712_00090	GO:0008936	3.5.1.19		head-on	33.3426	19.9407	33.6073	0.377289
PY79	25852	26337	486	+	tadA	tRNA-specific adenosine deaminase	CDS	U712_00095	GO:0008270			codirectional	70.1757	80.8837	134.468	0.454733	tadA	tRNA-specific adenosine deaminase	CDS	U712_00095	GO:0008270			codirectional	70.1757	80.8837	134.468	0.454733
PY79	26814	28505	1692	+	dnaX	DNA polymerase III subunit gamma/tau	CDS	U712_00100	GO:0003887	2.7.7.7		codirectional	282.058	253.715	364.235	0.435579	dnaX	DNA polymerase III subunit gamma/tau	CDS	U712_00100	GO:0003887	2.7.7.7		codirectional	282.058	253.715	364.235	0.435579
PY79	28550	28852	303	+	yaaK	UPF0133 protein YbaB	CDS	U712_00105				codirectional	803.126	772.214	1153.79	0.386139	yaaK	UPF0133 protein YbaB	CDS	U712_00105				codirectional	803.126	772.214	1153.79	0.386139
PY79	28867	29463	597	+	recR	Recombination protein recR	CDS	U712_00110	GO:0003676			codirectional	397.244	1096.88	1470.07	0.432161	recR	Recombination protein recR	CDS	U712_00110	GO:0003676			codirectional	397.244	1096.88	1470.07	0.432161
PY79	29481	29705	225	+	yaaL	Uncharacterized protein yaaL	CDS	U712_00115				codirectional	501.816	323.755	375.209	0.377778	yaaL	Uncharacterized protein yaaL	CDS	U712_00115				codirectional	501.816	323.755	375.209	0.377778
PY79	29772	30035	264	+	bofA	Sigma-K factor-processing regulatory protein BofA	CDS	U712_00120				codirectional	55.2903	28.3362	40.5683	0.390152	bofA	Sigma-K factor-processing regulatory protein BofA	CDS	U712_00120				codirectional	55.2903	28.3362	40.5683	0.390152
PY79	35531	35725	195	+	csfB	Hypothetical Protein	CDS	U712_00125				codirectional	19.1016	50.3738	74.1582	0.323077	csfB	Hypothetical Protein	CDS	U712_00125				codirectional	19.1016	50.3738	74.1582	0.323077
PY79	35845	36459	615	+	xpaC	Protein xpaC	CDS	U712_00130				codirectional	106.975	650.582	726.803	0.369106	xpaC	Protein xpaC	CDS	U712_00130				codirectional	106.975	650.582	726.803	0.369106
PY79	36478	37638	1161	+	yaaN	Uncharacterized protein yaaN	CDS	U712_00135				codirectional	107.718	273.183	275.531	0.403101	yaaN	Uncharacterized protein yaaN	CDS	U712_00135				codirectional	107.718	273.183	275.531	0.403101
PY79	37720	39162	1443	+	yaaO	Uncharacterized protein yaaO	CDS	U712_00140	GO:0008792	4.1.1.19		codirectional	164.09	563.838	678.036	0.42966	yaaO	Uncharacterized protein yaaO	CDS	U712_00140	GO:0008792	4.1.1.19		codirectional	164.09	563.838	678.036	0.42966
PY79	39159	39797	639	+	tmk	Thymidylate kinase	CDS	U712_00145	GO:0004798	2.7.4.9		codirectional	187.771	426.16	539.175	0.411581	tmk	Thymidylate kinase	CDS	U712_00145	GO:0004798	2.7.4.9		codirectional	187.771	426.16	539.175	0.411581
PY79	39871	40200	330	+	yaaQ	Uncharacterized protein yaaQ	CDS	U712_00150				codirectional	381.159	876.215	871.231	0.418182	yaaQ	Uncharacterized protein yaaQ	CDS	U712_00150				codirectional	381.159	876.215	871.231	0.418182
PY79	40267	40653	387	+	yaaR	Uncharacterized protein yaaR	CDS	U712_00155				codirectional	283.693	981.438	1052.68	0.385013	yaaR	Uncharacterized protein yaaR	CDS	U712_00155				codirectional	283.693	981.438	1052.68	0.385013
PY79	40665	41654	990	+	holB	DNA polymerase III subunit delta'	CDS	U712_00160	GO:0003887	2.7.7.7		codirectional	306.145	868.444	968.197	0.417172	holB	DNA polymerase III subunit delta'	CDS	U712_00160	GO:0003887	2.7.7.7		codirectional	306.145	868.444	968.197	0.417172
PY79	41657	42484	828	+	yaaT	Stage 0 sporulation protein yaaT	CDS	U712_00165				codirectional	424.722	1218.08	1284.27	0.428744	yaaT	Stage 0 sporulation protein yaaT	CDS	U712_00165				codirectional	424.722	1218.08	1284.27	0.428744
PY79	42499	42858	360	+	dnaH	Hypothetical Protein	CDS	U712_00170				codirectional	374.875	714.421	782.128	0.377778	dnaH	Hypothetical Protein	CDS	U712_00170				codirectional	374.875	714.421	782.128	0.377778
PY79	42917	43660	744	+	yabB	Uncharacterized protein yabB	CDS	U712_00175		2.1.1.223		codirectional	137.146	822.588	836.989	0.423387	yabB	Uncharacterized protein yabB	CDS	U712_00175		2.1.1.223		codirectional	137.146	822.588	836.989	0.423387
PY79	43734	43946	213	+	yazA	UPF0213 protein yazA	CDS	U712_00180				codirectional	195.313	2239.59	1992.31	0.399061	yazA	UPF0213 protein yazA	CDS	U712_00180				codirectional	195.313	2239.59	1992.31	0.399061
PY79	43921	44799	879	+	rsmI	Ribosomal RNA small subunit methyltransferase I	CDS	U712_00185				codirectional	140.502	354.714	340.975	0.432309	rsmI	Ribosomal RNA small subunit methyltransferase I	CDS	U712_00185				codirectional	140.502	354.714	340.975	0.432309
PY79	44848	45132	285	-	abrB	Transition state regulatory protein AbrB	CDS	U712_00190				head-on	2702.54	2635.41	2487.28	0.357895	abrB	Transition state regulatory protein AbrB	CDS	U712_00190				head-on	2702.54	2635.41	2487.28	0.357895
PY79	45633	47627	1995	+	metS	Methionyl-tRNA synthetase	CDS	U712_00195	GO:0004825	6.1.1.10		codirectional	351.723	1325.92	1408.75	0.421053	metS	Methionyl-tRNA synthetase	CDS	U712_00195	GO:0004825	6.1.1.10		codirectional	351.723	1325.92	1408.75	0.421053
PY79	47706	48473	768	+	yabD	Uncharacterized deoxyribonuclease yabD	CDS	U712_00200				codirectional	96.6671	306.164	317.635	0.423177	yabD	Uncharacterized deoxyribonuclease yabD	CDS	U712_00200				codirectional	96.6671	306.164	317.635	0.423177
PY79	48629	49942	1314	+	yabE	Uncharacterized protein yabE	CDS	U712_00205				codirectional	436.564	265.659	543.18	0.415525	yabE	Uncharacterized protein yabE	CDS	U712_00205				codirectional	436.564	265.659	543.18	0.415525
PY79	50087	50647	561	+	rnmV	Uncharacterized protein yabF	CDS	U712_00210	GO:0003676	3.1.26.8		codirectional	284.881	878.046	1230.73	0.461676	rnmV	Uncharacterized protein yabF	CDS	U712_00210	GO:0003676	3.1.26.8		codirectional	284.881	878.046	1230.73	0.461676
PY79	50640	51518	879	+	ksgA	Ribosomal RNA small subunit methyltransferase A	CDS	U712_00215		2.1.1.182		codirectional	272.343	477.063	683.359	0.434585	ksgA	Ribosomal RNA small subunit methyltransferase A	CDS	U712_00215		2.1.1.182		codirectional	272.343	477.063	683.359	0.434585
PY79	51680	52552	873	+	yabG	Sporulation-specific protease yabG	CDS	U712_00220				codirectional	12.1334	35.1745	20.1674	0.42268	yabG	Sporulation-specific protease yabG	CDS	U712_00220				codirectional	12.1334	35.1745	20.1674	0.42268
PY79	52763	53023	261	+	veg	Protein veg	CDS	U712_00225				codirectional	422.432	335.65	350.985	0.421456	veg	Protein veg	CDS	U712_00225				codirectional	422.432	335.65	350.985	0.421456
PY79	53204	53368	165	+	sspF	Protein sspF	CDS	U712_00230				codirectional	10.5819	54.7789	38.3614	0.442424	sspF	Protein sspF	CDS	U712_00230				codirectional	10.5819	54.7789	38.3614	0.442424
PY79	53507	54385	879	+	ispE	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	CDS	U712_00235	GO:0050515	2.7.1.148		codirectional	272.237	1224.96	1307.58	0.480091	ispE	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	CDS	U712_00235	GO:0050515	2.7.1.148		codirectional	272.237	1224.96	1307.58	0.480091
PY79	54441	55298	858	+	purR	Pur operon repressor	CDS	U712_00240				codirectional	640.556	956.824	1276.17	0.426573	purR	Pur operon repressor	CDS	U712_00240				codirectional	640.556	956.824	1276.17	0.426573
PY79	55295	55672	378	+	yabJ	RutC family protein yabJ	CDS	U712_00245				codirectional	944.015	153.939	193.507	0.441799	yabJ	RutC family protein yabJ	CDS	U712_00245				codirectional	944.015	153.939	193.507	0.441799
PY79	55914	56159	246	+	spoVG	Putative septation protein spoVG	CDS	U712_00250				codirectional	166.273	485.802	429.525	0.430894	spoVG	Putative septation protein spoVG	CDS	U712_00250				codirectional	166.273	485.802	429.525	0.430894
PY79	56156	56278	123	-	U712_00255	Hypothetical Protein	CDS	U712_00255				head-on	44.4783	10.4443	0	0.357724	U712_00255	Hypothetical Protein	CDS	U712_00255				head-on	44.4783	10.4443	0	0.357724
PY79	56352	57722	1371	+	gcaD	Bifunctional protein glmU	CDS	U712_00260	GO:0019134	2.7.7.23		codirectional	1098.75	669.51	1232.07	0.431802	gcaD	Bifunctional protein glmU	CDS	U712_00260	GO:0019134	2.7.7.23		codirectional	1098.75	669.51	1232.07	0.431802
PY79	57745	58698	954	+	prs	Ribose-phosphate pyrophosphokinase	CDS	U712_00265	GO:0004749	2.7.6.1		codirectional	1094.75	403.961	641.914	0.426625	prs	Ribose-phosphate pyrophosphokinase	CDS	U712_00265	GO:0004749	2.7.6.1		codirectional	1094.75	403.961	641.914	0.426625
PY79	58783	59397	615	+	ctc	General stress protein CTC	CDS	U712_00270	GO:0003735			codirectional	1729.47	294.773	306.508	0.461789	ctc	General stress protein CTC	CDS	U712_00270	GO:0003735			codirectional	1729.47	294.773	306.508	0.461789
PY79	59504	60070	567	+	pth	Peptidyl-tRNA hydrolase	CDS	U712_00275	GO:0004045	3.1.1.29		codirectional	330.356	281.296	348.183	0.435626	pth	Peptidyl-tRNA hydrolase	CDS	U712_00275	GO:0004045	3.1.1.29		codirectional	330.356	281.296	348.183	0.435626
PY79	60130	60360	231	+	fin	Uncharacterized protein yabK	CDS	U712_00280				codirectional	377.521	201.54	274.649	0.385281	fin	Uncharacterized protein yabK	CDS	U712_00280				codirectional	377.521	201.54	274.649	0.385281
PY79	60430	63963	3534	+	mfd	Transcription-repair-coupling factor	CDS	U712_00285	GO:0003676			codirectional	256.852	256.621	285.511	0.451613	mfd	Transcription-repair-coupling factor	CDS	U712_00285	GO:0003676			codirectional	256.852	256.621	285.511	0.451613
PY79	64099	64635	537	+	spoVT	Stage V sporulation protein T	CDS	U712_00290				codirectional	280.272	68.7215	56.6915	0.450652	spoVT	Stage V sporulation protein T	CDS	U712_00290				codirectional	280.272	68.7215	56.6915	0.450652
PY79	64817	66415	1599	+	yabM	Uncharacterized membrane protein yabM	CDS	U712_00295				codirectional	77.8625	246.424	252.942	0.444653	yabM	Uncharacterized membrane protein yabM	CDS	U712_00295				codirectional	77.8625	246.424	252.942	0.444653
PY79	66405	67874	1470	+	yabN	Uncharacterized protein yabN	CDS	U712_00300		3.6.1.8		codirectional	164.054	1105.94	988.882	0.448299	yabN	Uncharacterized protein yabN	CDS	U712_00300		3.6.1.8		codirectional	164.054	1105.94	988.882	0.448299
PY79	67877	68137	261	+	hslR	Uncharacterized protein yabO	CDS	U712_00305				codirectional	237.618	1835.69	1643	0.413793	hslR	Uncharacterized protein yabO	CDS	U712_00305				codirectional	237.618	1835.69	1643	0.413793
PY79	68216	68518	303	+	yabP	Spore protein yabP	CDS	U712_00310				codirectional	249.628	235.003	305.456	0.392739	yabP	Spore protein yabP	CDS	U712_00310				codirectional	249.628	235.003	305.456	0.392739
PY79	68515	69150	636	+	yabQ	Spore protein yabQ	CDS	U712_00315				codirectional	234.302	660.906	695.693	0.389937	yabQ	Spore protein yabQ	CDS	U712_00315				codirectional	234.302	660.906	695.693	0.389937
PY79	69168	69545	378	+	divIC	Cell division protein divIC	CDS	U712_00320				codirectional	578.246	2304.15	2306.71	0.399471	divIC	Cell division protein divIC	CDS	U712_00320				codirectional	578.246	2304.15	2306.71	0.399471
PY79	69626	70012	387	+	yabR	Uncharacterized protein yabR	CDS	U712_00325				codirectional	1856.09	698.182	848.509	0.397933	yabR	Uncharacterized protein yabR	CDS	U712_00325				codirectional	1856.09	698.182	848.509	0.397933
PY79	70529	73021	2493	+	spoIIE	Stage II sporulation protein E	CDS	U712_00330				codirectional	35.1957	55.2948	96.0703	0.437625	spoIIE	Stage II sporulation protein E	CDS	U712_00330				codirectional	35.1957	55.2948	96.0703	0.437625
PY79	73106	73843	738	+	yabS	Uncharacterized protein yabS	CDS	U712_00335				codirectional	44.0998	137.958	153.834	0.46206	yabS	Uncharacterized protein yabS	CDS	U712_00335				codirectional	44.0998	137.958	153.834	0.46206
PY79	73896	74825	930	+	yabT	Probable serine/threonine-protein kinase yabT	CDS	U712_00340		2.7.11.1		codirectional	23.0548	592.94	507.141	0.436559	yabT	Probable serine/threonine-protein kinase yabT	CDS	U712_00340		2.7.11.1		codirectional	23.0548	592.94	507.141	0.436559
PY79	74929	76347	1419	+	tilS	tRNA(Ile)-lysidine synthase	CDS	U712_00345				codirectional	571.323	721.803	897.261	0.440451	tilS	tRNA(Ile)-lysidine synthase	CDS	U712_00345				codirectional	571.323	721.803	897.261	0.440451
PY79	76344	76886	543	+	hprT	Hypoxanthine-guanine phosphoribosyltransferase	CDS	U712_00350	GO:0004422	2.4.2.8		codirectional	1166.19	2651.83	2455.05	0.392265	hprT	Hypoxanthine-guanine phosphoribosyltransferase	CDS	U712_00350	GO:0004422	2.4.2.8		codirectional	1166.19	2651.83	2455.05	0.392265
PY79	76984	78897	1914	+	ftsH	ATP-dependent zinc metalloprotease FtsH	CDS	U712_00355				codirectional	2310.88	2354.68	2244.77	0.45977	ftsH	ATP-dependent zinc metalloprotease FtsH	CDS	U712_00355				codirectional	2310.88	2354.68	2244.77	0.45977
PY79	79212	79868	657	+	coaX	Type III pantothenate kinase	CDS	U712_00360	GO:0004594	2.7.1.33		codirectional	252.077	387.6	510.432	0.436834	coaX	Type III pantothenate kinase	CDS	U712_00360	GO:0004594	2.7.1.33		codirectional	252.077	387.6	510.432	0.436834
PY79	79880	80755	876	+	hslO	33 kDa chaperonin	CDS	U712_00365	GO:0005737			codirectional	313.857	295.23	364.906	0.444064	hslO	33 kDa chaperonin	CDS	U712_00365	GO:0005737			codirectional	313.857	295.23	364.906	0.444064
PY79	80802	81695	894	+	yacD	Uncharacterized protein yacD	CDS	U712_00370		5.2.1.8		codirectional	118.25	235.131	300.67	0.403803	yacD	Uncharacterized protein yacD	CDS	U712_00370		5.2.1.8		codirectional	118.25	235.131	300.67	0.403803
PY79	81771	82697	927	+	cysK	Cysteine synthase	CDS	U712_00375	GO:0004124	2.5.1.47		codirectional	288.176	203.926	303.712	0.455232	cysK	Cysteine synthase	CDS	U712_00375	GO:0004124	2.5.1.47		codirectional	288.176	203.926	303.712	0.455232
PY79	82771	84276	1506	+	pabB	Para-aminobenzoate synthase component 1	CDS	U712_00380		2.6.1.85		codirectional	84.7267	419.305	421.399	0.416335	pabB	Para-aminobenzoate synthase component 1	CDS	U712_00380		2.6.1.85		codirectional	84.7267	419.305	421.399	0.416335
PY79	84290	84874	585	+	pabA	Para-aminobenzoate/anthranilate synthase glutamine amidotransferase component II	CDS	U712_00385	GO:0004049	2.6.1.85		codirectional	225.837	589.88	621.409	0.452991	pabA	Para-aminobenzoate/anthranilate synthase glutamine amidotransferase component II	CDS	U712_00385	GO:0004049	2.6.1.85		codirectional	225.837	589.88	621.409	0.452991
PY79	84874	85755	882	+	pabC	Aminodeoxychorismate lyase	CDS	U712_00390	GO:0008696	4.1.3.38		codirectional	161.588	565.362	600.077	0.438776	pabC	Aminodeoxychorismate lyase	CDS	U712_00390	GO:0008696	4.1.3.38		codirectional	161.588	565.362	600.077	0.438776
PY79	85737	86594	858	+	folP	Dihydropteroate synthase	CDS	U712_00395	GO:0004156	2.5.1.15		codirectional	190.013	433.034	493.206	0.475524	folP	Dihydropteroate synthase	CDS	U712_00395	GO:0004156	2.5.1.15		codirectional	190.013	433.034	493.206	0.475524
PY79	86587	86949	363	+	folB	Dihydroneopterin aldolase	CDS	U712_00400	GO:0004150	4.1.2.25		codirectional	224.721	1081.78	1196.12	0.435262	folB	Dihydroneopterin aldolase	CDS	U712_00400	GO:0004150	4.1.2.25		codirectional	224.721	1081.78	1196.12	0.435262
PY79	86946	87449	504	+	folK	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase	CDS	U712_00405	GO:0003848	2.7.6.3		codirectional	336.546	3204.1	2798.26	0.430556	folK	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase	CDS	U712_00405	GO:0003848	2.7.6.3		codirectional	336.546	3204.1	2798.26	0.430556
PY79	87401	87610	210	+	yazB	Hypothetical Protein	CDS	U712_00410				codirectional	730.22	4008.59	3463.88	0.428571	yazB	Hypothetical Protein	CDS	U712_00410				codirectional	730.22	4008.59	3463.88	0.428571
PY79	87634	88635	1002	+	dusB	Probable tRNA-dihydrouridine synthase 1	CDS	U712_00415				codirectional	688.739	614.117	731.63	0.448104	dusB	Probable tRNA-dihydrouridine synthase 1	CDS	U712_00415				codirectional	688.739	614.117	731.63	0.448104
PY79	88727	90226	1500	+	lysS	Lysyl-tRNA synthetase	CDS	U712_00420	GO:0004824	6.1.1.6		codirectional	796.894	786.405	858.794	0.433333	lysS	Lysyl-tRNA synthetase	CDS	U712_00420	GO:0004824	6.1.1.6		codirectional	796.894	786.405	858.794	0.433333
PY79	101446	101910	465	+	ctsR	Transcriptional regulator CtsR	CDS	U712_00425				codirectional	141.834	1731.74	1480.3	0.339785	ctsR	Transcriptional regulator CtsR	CDS	U712_00425				codirectional	141.834	1731.74	1480.3	0.339785
PY79	102134	102481	348	+	mcsA	Uncharacterized protein yacH	CDS	U712_00430				codirectional	179.15	446.364	379.487	0.385057	mcsA	Uncharacterized protein yacH	CDS	U712_00430				codirectional	179.15	446.364	379.487	0.385057
PY79	102481	103572	1092	+	mcsB	Hypothetical Protein	CDS	U712_00435				codirectional	167.928	502.567	374.842	0.418498	mcsB	Hypothetical Protein	CDS	U712_00435				codirectional	167.928	502.567	374.842	0.418498
PY79	103569	106001	2433	+	clpC	Negative regulator of genetic competence ClpC/MecB	CDS	U712_00440				codirectional	197.57	1153.6	845.831	0.435265	clpC	Negative regulator of genetic competence ClpC/MecB	CDS	U712_00440				codirectional	197.57	1153.6	845.831	0.435265
PY79	106093	107469	1377	+	radA	DNA repair protein RadA-like	CDS	U712_00445	GO:0003678			codirectional	112.58	922.338	748.396	0.450254	radA	DNA repair protein RadA-like	CDS	U712_00445	GO:0003678			codirectional	112.58	922.338	748.396	0.450254
PY79	107473	108555	1083	+	disA	DNA integrity scanning protein DisA	CDS	U712_00450				codirectional	118.206	348.87	354.737	0.403509	disA	DNA integrity scanning protein DisA	CDS	U712_00450				codirectional	118.206	348.87	354.737	0.403509
PY79	108671	109771	1101	+	yacL	Uncharacterized PIN and TRAM-domain containing protein YacL	CDS	U712_00455				codirectional	163.743	259.333	250.703	0.402361	yacL	Uncharacterized PIN and TRAM-domain containing protein YacL	CDS	U712_00455				codirectional	163.743	259.333	250.703	0.402361
PY79	109786	110484	699	+	ispD	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	CDS	U712_00460	GO:0050518	2.7.7.60		codirectional	131.288	683.345	660.357	0.479256	ispD	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	CDS	U712_00460	GO:0050518	2.7.7.60		codirectional	131.288	683.345	660.357	0.479256
PY79	110477	110953	477	+	ispF	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	CDS	U712_00465	GO:0008685	4.6.1.12		codirectional	71.695	568.296	620.75	0.465409	ispF	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	CDS	U712_00465	GO:0008685	4.6.1.12		codirectional	71.695	568.296	620.75	0.465409
PY79	111044	112495	1452	+	gltX	Glutamyl-tRNA synthetase	CDS	U712_00470	GO:0004818	6.1.1.17		codirectional	835.551	789.091	876.594	0.431818	gltX	Glutamyl-tRNA synthetase	CDS	U712_00470	GO:0004818	6.1.1.17		codirectional	835.551	789.091	876.594	0.431818
PY79	112500	112625	126	+	U712_00475	Hypothetical Protein	CDS	U712_00475				codirectional	938.596	61.1166	40.5877	0.420635	U712_00475	Hypothetical Protein	CDS	U712_00475				codirectional	938.596	61.1166	40.5877	0.420635
PY79	112622	112807	186	+	U712_00480	Hypothetical Protein	CDS	U712_00480				codirectional	399.642	87.0589	84.2819	0.467742	U712_00480	Hypothetical Protein	CDS	U712_00480				codirectional	399.642	87.0589	84.2819	0.467742
PY79	112809	113450	642	+	cysE	Serine acetyltransferase	CDS	U712_00485	GO:0009001	2.3.1.30		codirectional	158.319	262.221	319.36	0.439252	cysE	Serine acetyltransferase	CDS	U712_00485	GO:0009001	2.3.1.30		codirectional	158.319	262.221	319.36	0.439252
PY79	113447	114847	1401	+	cysS	Cysteinyl-tRNA synthetase	CDS	U712_00490	GO:0004817	6.1.1.16		codirectional	163.343	497.682	496.486	0.43469	cysS	Cysteinyl-tRNA synthetase	CDS	U712_00490	GO:0004817	6.1.1.16		codirectional	163.343	497.682	496.486	0.43469
PY79	114851	115282	432	+	mrnC	Putative ribonuclease mrnC	CDS	U712_00495				codirectional	172.553	253.778	300.492	0.421296	mrnC	Putative ribonuclease mrnC	CDS	U712_00495				codirectional	172.553	253.778	300.492	0.421296
PY79	115266	116015	750	+	rlmB	Putative TrmH family tRNA/rRNA methyltransferase YacO	CDS	U712_00500				codirectional	166.996	196.114	189.767	0.474667	rlmB	Putative TrmH family tRNA/rRNA methyltransferase YacO	CDS	U712_00500				codirectional	166.996	196.114	189.767	0.474667
PY79	116022	116534	513	+	yacP	Uncharacterized protein yacP	CDS	U712_00505				codirectional	155.7	688.48	671.949	0.444444	yacP	Uncharacterized protein yacP	CDS	U712_00505				codirectional	155.7	688.48	671.949	0.444444
PY79	116648	117253	606	+	sigH	RNA polymerase sigma-H factor	CDS	U712_00510	GO:0003677			codirectional	280.168	1227.96	1239.24	0.405941	sigH	RNA polymerase sigma-H factor	CDS	U712_00510	GO:0003677			codirectional	280.168	1227.96	1239.24	0.405941
PY79	117346	117495	150	+	rpmGB	Hypothetical Protein	CDS	U712_00515	GO:0003735			codirectional	887.904	274.294	366.688	0.386667	rpmGB	Hypothetical Protein	CDS	U712_00515	GO:0003735			codirectional	887.904	274.294	366.688	0.386667
PY79	117529	117708	180	+	secE	Preprotein translocase subunit secE	CDS	U712_00520	GO:0006605			codirectional	1008.16	60.1912	63.2201	0.311111	secE	Preprotein translocase subunit secE	CDS	U712_00520	GO:0006605			codirectional	1008.16	60.1912	63.2201	0.311111
PY79	117887	118420	534	+	nusG	Transcription antitermination protein nusG	CDS	U712_00525	GO:0003711			codirectional	1057.68	724.882	1315.63	0.411985	nusG	Transcription antitermination protein nusG	CDS	U712_00525	GO:0003711			codirectional	1057.68	724.882	1315.63	0.411985
