Name	Locus_tag	key	classif
S430	new_1262896_1264544	new_1262896_1264544::AL009126.3:1262895-1264544(+)	3'PT
S461	new_1356775_1357416_c	new_1356775_1357416_c::AL009126.3:1356774-1357416(-)	3'PT
S464	new_1369127_1369854_c	new_1369127_1369854_c::AL009126.3:1369126-1369854(-)	3'PT
S465	new_1369868_1371036	new_1369868_1371036::AL009126.3:1369867-1371036(+)	3'PT
S484	new_1421204_1422144_c	new_1421204_1422144_c::AL009126.3:1421203-1422144(-)	3'PT
S487	new_1429967_1430160_c	new_1429967_1430160_c::AL009126.3:1429966-1430160(-)	3'PT
S528	new_1522479_1523083_c	new_1522479_1523083_c::AL009126.3:1522478-1523083(-)	3'PT
S537	new_1538693_1539646	new_1538693_1539646::AL009126.3:1538692-1539646(+)	3'PT
S546	new_1569001_1569224_c	new_1569001_1569224_c::AL009126.3:1569000-1569224(-)	3'PT
S578	new_1670054_1671124_c	new_1670054_1671124_c::AL009126.3:1670053-1671124(-)	3'PT
S622	new_1872092_1872751_c	new_1872092_1872751_c::AL009126.3:1872091-1872751(-)	3'PT
S639	new_1900263_1900568_c	new_1900263_1900568_c::AL009126.3:1900262-1900568(-)	3'PT
S652	new_1914233_1914999_c	new_1914233_1914999_c::AL009126.3:1914232-1914999(-)	3'PT
S682	new_2007582_2008540_c	new_2007582_2008540_c::AL009126.3:2007581-2008540(-)	3'PT
S687	new_2021232_2021971	new_2021232_2021971::AL009126.3:2021231-2021971(+)	3'PT
S726	new_2078548_2079183_c	new_2078548_2079183_c::AL009126.3:2078547-2079183(-)	3'PT
S807	new_2264353_2265142_c	new_2264353_2265142_c::AL009126.3:2264352-2265142(-)	3'PT
S818	new_2288652_2289883	new_2288652_2289883::AL009126.3:2288651-2289883(+)	3'PT
S878	new_2415356_2415414_c	new_2415356_2415414_c::AL009126.3:2415355-2415414(-)	3'PT
S908	new_2488970_2489605	new_2488970_2489605::AL009126.3:2488969-2489605(+)	3'PT
S927	new_2562914_2563888	new_2562914_2563888::AL009126.3:2562913-2563888(+)	3'PT
S930	new_2565921_2566988	new_2565921_2566988::AL009126.3:2565920-2566988(+)	3'PT
S941	new_2591428_2592036	new_2591428_2592036::AL009126.3:2591427-2592036(+)	3'PT
S944	new_2593286_2594087	new_2593286_2594087::AL009126.3:2593285-2594087(+)	3'PT
S969	new_2647863_2648916	new_2647863_2648916::AL009126.3:2647862-2648916(+)	3'PT
S973	new_2663336_2663531_c	new_2663336_2663531_c::AL009126.3:2663335-2663531(-)	3'PT
S979	new_2679011_2679382	new_2679011_2679382::AL009126.3:2679010-2679382(+)	3'PT
S984	new_2701783_2703117	new_2701783_2703117::AL009126.3:2701782-2703117(+)	3'PT
S985	new_2706711_2707758_c	new_2706711_2707758_c::AL009126.3:2706710-2707758(-)	3'PT
S1002	new_2730921_2731106_c	new_2730921_2731106_c::AL009126.3:2730920-2731106(-)	3'PT
S1018	new_2758015_2759120	new_2758015_2759120::AL009126.3:2758014-2759120(+)	3'PT
S1051	new_2840432_2840765_c	new_2840432_2840765_c::AL009126.3:2840431-2840765(-)	3'PT
S1054	new_2843111_2843532	new_2843111_2843532::AL009126.3:2843110-2843532(+)	3'PT
S1057	new_2851286_2851995	new_2851286_2851995::AL009126.3:2851285-2851995(+)	3'PT
S1116	new_3009340_3009869_c	new_3009340_3009869_c::AL009126.3:3009339-3009869(-)	3'PT
S1134	new_3035475_3036308_c	new_3035475_3036308_c::AL009126.3:3035474-3036308(-)	3'PT
S1169	new_3133391_3134939_c	new_3133391_3134939_c::AL009126.3:3133390-3134939(-)	3'PT
S1184	new_3183217_3183608	new_3183217_3183608::AL009126.3:3183216-3183608(+)	3'PT
S1212	new_3250494_3252362_c	new_3250494_3252362_c::AL009126.3:3250493-3252362(-)	3'PT
S1237	new_3299701_3300252	new_3299701_3300252::AL009126.3:3299700-3300252(+)	3'PT
S1289	new_3458782_3459775_c	new_3458782_3459775_c::AL009126.3:3458781-3459775(-)	3'PT
S1294	new_3465665_3466067_c	new_3465665_3466067_c::AL009126.3:3465664-3466067(-)	3'PT
S1295	new_3466069_3466155_c	new_3466069_3466155_c::AL009126.3:3466068-3466155(-)	3'PT
S1297	new_3466412_3467550	new_3466412_3467550::AL009126.3:3466411-3467550(+)	3'PT
S1310	new_3512501_3513571	new_3512501_3513571::AL009126.3:3512500-3513571(+)	3'PT
S1319	new_3546861_3547259	new_3546861_3547259::AL009126.3:3546860-3547259(+)	3'PT
S1339	new_3606777_3607493	new_3606777_3607493::AL009126.3:3606776-3607493(+)	3'PT
S1378	new_3691599_3692493_c	new_3691599_3692493_c::AL009126.3:3691598-3692493(-)	3'PT
S1408	new_3761046_3761954_c	new_3761046_3761954_c::AL009126.3:3761045-3761954(-)	3'PT
S1446	new_3819213_3819619	new_3819213_3819619::AL009126.3:3819212-3819619(+)	3'PT
S1477	new_3943322_3944525_c	new_3943322_3944525_c::AL009126.3:3943321-3944525(-)	3'PT
S1481	new_3957252_3958479_c	new_3957252_3958479_c::AL009126.3:3957251-3958479(-)	3'PT
S1482	new_3965134_3966683_c	new_3965134_3966683_c::AL009126.3:3965133-3966683(-)	3'PT
S1483	new_3966685_3966776_c	new_3966685_3966776_c::AL009126.3:3966684-3966776(-)	3'PT
S1493	new_3989908_3990230	new_3989908_3990230::AL009126.3:3989907-3990230(+)	3'PT
S1523	new_4068171_4068967	new_4068171_4068967::AL009126.3:4068170-4068967(+)	3'PT
S1530	new_4089418_4089968	new_4089418_4089968::AL009126.3:4089417-4089968(+)	3'PT
S1533	new_4094722_4095322_c	new_4094722_4095322_c::AL009126.3:4094721-4095322(-)	3'PT
S1535	new_4104900_4105513	new_4104900_4105513::AL009126.3:4104899-4105513(+)	3'PT
S1539	new_4109864_4110916_c	new_4109864_4110916_c::AL009126.3:4109863-4110916(-)	3'PT
S1545	new_4130257_4130577_c	new_4130257_4130577_c::AL009126.3:4130256-4130577(-)	3'PT
S1566	new_4174260_4176850_c	new_4174260_4176850_c::AL009126.3:4174259-4176850(-)	3'PT
S18	new_26636_26731	new_26636_26731::AL009126.3:26635-26731(+)	3'UTR
S78	new_220033_220103	new_220033_220103::AL009126.3:220032-220103(+)	3'UTR
S135	new_463070_463495_c	new_463070_463495_c::AL009126.3:463069-463495(-)	3'UTR
S146	new_490705_490776_c	new_490705_490776_c::AL009126.3:490704-490776(-)	3'UTR
S151	new_502632_502875	new_502632_502875::AL009126.3:502631-502875(+)	3'UTR
S154	new_507683_507752_c	new_507683_507752_c::AL009126.3:507682-507752(-)	3'UTR
S173	new_546051_546165_c	new_546051_546165_c::AL009126.3:546050-546165(-)	3'UTR
S175	new_549923_550239_c	new_549923_550239_c::AL009126.3:549922-550239(-)	3'UTR
S177	new_551930_551999	new_551930_551999::AL009126.3:551929-551999(+)	3'UTR
S187	new_591895_592302_c	new_591895_592302_c::AL009126.3:591894-592302(-)	3'UTR
S193	new_599509_599874_c	new_599509_599874_c::AL009126.3:599508-599874(-)	3'UTR
S209	new_651869_651961	new_651869_651961::AL009126.3:651868-651961(+)	3'UTR
S217	new_663028_663224	new_663028_663224::AL009126.3:663027-663224(+)	3'UTR
S226	new_681122_681254_c	new_681122_681254_c::AL009126.3:681121-681254(-)	3'UTR
S240	new_738983_739575	new_738983_739575::AL009126.3:738982-739575(+)	3'UTR
S281	new_877404_877496	new_877404_877496::AL009126.3:877403-877496(+)	3'UTR
S284	new_909123_909197_c	new_909123_909197_c::AL009126.3:909122-909197(-)	3'UTR
S306	new_952948_953024	new_952948_953024::AL009126.3:952947-953024(+)	3'UTR
S311	new_967139_967321	new_967139_967321::AL009126.3:967138-967321(+)	3'UTR
S322	new_1004835_1004923	new_1004835_1004923::AL009126.3:1004834-1004923(+)	3'UTR
S335	new_1038761_1038814	new_1038761_1038814::AL009126.3:1038760-1038814(+)	3'UTR
S346	new_1056539_1056622	new_1056539_1056622::AL009126.3:1056538-1056622(+)	3'UTR
S347	new_1071489_1071740	new_1071489_1071740::AL009126.3:1071488-1071740(+)	3'UTR
S350	new_1071973_1072041_c	new_1071973_1072041_c::AL009126.3:1071972-1072041(-)	3'UTR
S351	new_1072963_1073105_c	new_1072963_1073105_c::AL009126.3:1072962-1073105(-)	3'UTR
S352	new_1073110_1073875	new_1073110_1073875::AL009126.3:1073109-1073875(+)	3'UTR
S371	new_1124979_1125122_c	new_1124979_1125122_c::AL009126.3:1124978-1125122(-)	3'UTR
S376	new_1130759_1130917_c	new_1130759_1130917_c::AL009126.3:1130758-1130917(-)	3'UTR
S383	new_1150647_1150849_c	new_1150647_1150849_c::AL009126.3:1150646-1150849(-)	3'UTR
S388	new_1159082_1159149	new_1159082_1159149::AL009126.3:1159081-1159149(+)	3'UTR
S391	new_1168046_1168198_c	new_1168046_1168198_c::AL009126.3:1168045-1168198(-)	3'UTR
S399	new_1204423_1204697_c	new_1204423_1204697_c::AL009126.3:1204422-1204697(-)	3'UTR
S429	new_1262876_1263611_c	new_1262876_1263611_c::AL009126.3:1262875-1263611(-)	3'UTR
S431	new_1263613_1263701_c	new_1263613_1263701_c::AL009126.3:1263612-1263701(-)	3'UTR
S436	new_1269585_1269672	new_1269585_1269672::AL009126.3:1269584-1269672(+)	3'UTR
S437	new_1269672_1269732_c	new_1269672_1269732_c::AL009126.3:1269671-1269732(-)	3'UTR
S455	new_1321205_1321328_c	new_1321205_1321328_c::AL009126.3:1321204-1321328(-)	3'UTR
S468	new_1382628_1383305	new_1382628_1383305::AL009126.3:1382627-1383305(+)	3'UTR
S485	new_1421924_1422163	new_1421924_1422163::AL009126.3:1421923-1422163(+)	3'UTR
S491	new_1435383_1435605_c	new_1435383_1435605_c::AL009126.3:1435382-1435605(-)	3'UTR
S495	new_1441789_1442065	new_1441789_1442065::AL009126.3:1441788-1442065(+)	3'UTR
S496	new_1442102_1442346_c	new_1442102_1442346_c::AL009126.3:1442101-1442346(-)	3'UTR
S500	new_1447578_1447661_c	new_1447578_1447661_c::AL009126.3:1447577-1447661(-)	3'UTR
S539	new_1550649_1550796_c	new_1550649_1550796_c::AL009126.3:1550648-1550796(-)	3'UTR
S597	new_1744182_1744236	new_1744182_1744236::AL009126.3:1744181-1744236(+)	3'UTR
S611	new_1780123_1780617_c	new_1780123_1780617_c::AL009126.3:1780122-1780617(-)	3'UTR
S620	new_1868375_1868451	new_1868375_1868451::AL009126.3:1868374-1868451(+)	3'UTR
S635	new_1893246_1893320	new_1893246_1893320::AL009126.3:1893245-1893320(+)	3'UTR
S636	new_1894896_1895211	new_1894896_1895211::AL009126.3:1894895-1895211(+)	3'UTR
S644	new_1903165_1903471_c	new_1903165_1903471_c::AL009126.3:1903164-1903471(-)	3'UTR
S649	new_1907202_1907287	new_1907202_1907287::AL009126.3:1907201-1907287(+)	3'UTR
S673	new_1937876_1938065_c	new_1937876_1938065_c::AL009126.3:1937875-1938065(-)	3'UTR
S686	new_2021145_2021230	new_2021145_2021230::AL009126.3:2021144-2021230(+)	3'UTR
S690	new_2027827_2028174_c	new_2027827_2028174_c::AL009126.3:2027826-2028174(-)	3'UTR
S693	new_2029314_2029407	new_2029314_2029407::AL009126.3:2029313-2029407(+)	3'UTR
S698	new_2037498_2037600_c	new_2037498_2037600_c::AL009126.3:2037497-2037600(-)	3'UTR
S704	new_2046920_2046979_c	new_2046920_2046979_c::AL009126.3:2046919-2046979(-)	3'UTR
S709	new_2054085_2054544_c	new_2054085_2054544_c::AL009126.3:2054084-2054544(-)	3'UTR
S712	new_2057588_2058714_c	new_2057588_2058714_c::AL009126.3:2057587-2058714(-)	3'UTR
S716	new_2069746_2069982_c	new_2069746_2069982_c::AL009126.3:2069745-2069982(-)	3'UTR
S721	new_2071199_2071285_c	new_2071199_2071285_c::AL009126.3:2071198-2071285(-)	3'UTR
S771	new_2169927_2169994	new_2169927_2169994::AL009126.3:2169926-2169994(+)	3'UTR
S774	new_2190786_2190883_c	new_2190786_2190883_c::AL009126.3:2190785-2190883(-)	3'UTR
S785	new_2208648_2208779_c	new_2208648_2208779_c::AL009126.3:2208647-2208779(-)	3'UTR
S786	new_2208781_2208854_c	new_2208781_2208854_c::AL009126.3:2208780-2208854(-)	3'UTR
S792	new_2215272_2215459_c	new_2215272_2215459_c::AL009126.3:2215271-2215459(-)	3'UTR
S799	new_2225616_2225829	new_2225616_2225829::AL009126.3:2225615-2225829(+)	3'UTR
S804	new_2246149_2246571	new_2246149_2246571::AL009126.3:2246148-2246571(+)	3'UTR
S808	new_2265144_2265224_c	new_2265144_2265224_c::AL009126.3:2265143-2265224(-)	3'UTR
S810	new_2273724_2273988_c	new_2273724_2273988_c::AL009126.3:2273723-2273988(-)	3'UTR
S815	new_2282486_2282578	new_2282486_2282578::AL009126.3:2282485-2282578(+)	3'UTR
S832	new_2310988_2311968	new_2310988_2311968::AL009126.3:2310987-2311968(+)	3'UTR
S858	new_2381192_2381353_c	new_2381192_2381353_c::AL009126.3:2381191-2381353(-)	3'UTR
S876	new_2412975_2413587	new_2412975_2413587::AL009126.3:2412974-2413587(+)	3'UTR
S895	new_2457212_2457348_c	new_2457212_2457348_c::AL009126.3:2457211-2457348(-)	3'UTR
S899	new_2467979_2468158_c	new_2467979_2468158_c::AL009126.3:2467978-2468158(-)	3'UTR
S906	new_2484736_2485656_c	new_2484736_2485656_c::AL009126.3:2484735-2485656(-)	3'UTR
S925	new_2555662_2555886_c	new_2555662_2555886_c::AL009126.3:2555661-2555886(-)	3'UTR
S926	new_2560260_2560488_c	new_2560260_2560488_c::AL009126.3:2560259-2560488(-)	3'UTR
S939	new_2587581_2588011	new_2587581_2588011::AL009126.3:2587580-2588011(+)	3'UTR
S964	new_2642036_2642116	new_2642036_2642116::AL009126.3:2642035-2642116(+)	3'UTR
S967	new_2647615_2647861	new_2647615_2647861::AL009126.3:2647614-2647861(+)	3'UTR
S980	new_2691497_2692644_c	new_2691497_2692644_c::AL009126.3:2691496-2692644(-)	3'UTR
S981	new_2692608_2692913	new_2692608_2692913::AL009126.3:2692607-2692913(+)	3'UTR
S983	new_2699244_2699382	new_2699244_2699382::AL009126.3:2699243-2699382(+)	3'UTR
S987	new_2707760_2708174_c	new_2707760_2708174_c::AL009126.3:2707759-2708174(-)	3'UTR
S999	new_2722645_2722745	new_2722645_2722745::AL009126.3:2722644-2722745(+)	3'UTR
S1011	new_2741085_2741356_c	new_2741085_2741356_c::AL009126.3:2741084-2741356(-)	3'UTR
S1014	new_2750810_2750882_c	new_2750810_2750882_c::AL009126.3:2750809-2750882(-)	3'UTR
S1015	new_2752064_2752166_c	new_2752064_2752166_c::AL009126.3:2752063-2752166(-)	3'UTR
S1020	new_2767968_2768041_c	new_2767968_2768041_c::AL009126.3:2767967-2768041(-)	3'UTR
S1085	new_2938273_2938329_c	new_2938273_2938329_c::AL009126.3:2938272-2938329(-)	3'UTR
S1088	new_2951898_2952204	new_2951898_2952204::AL009126.3:2951897-2952204(+)	3'UTR
S1097	new_2975948_2976067_c	new_2975948_2976067_c::AL009126.3:2975947-2976067(-)	3'UTR
S1108	new_2989805_2989899_c	new_2989805_2989899_c::AL009126.3:2989804-2989899(-)	3'UTR
S1128	new_3032370_3032416_c	new_3032370_3032416_c::AL009126.3:3032369-3032416(-)	3'UTR
S1137	new_3036410_3036583	new_3036410_3036583::AL009126.3:3036409-3036583(+)	3'UTR
S1138	new_3037916_3038059_c	new_3037916_3038059_c::AL009126.3:3037915-3038059(-)	3'UTR
S1147	new_3060674_3060844	new_3060674_3060844::AL009126.3:3060673-3060844(+)	3'UTR
S1188	new_3194349_3194635	new_3194349_3194635::AL009126.3:3194348-3194635(+)	3'UTR
S1217	new_3257607_3258036_c	new_3257607_3258036_c::AL009126.3:3257606-3258036(-)	3'UTR
S1218	new_3258062_3259375	new_3258062_3259375::AL009126.3:3258061-3259375(+)	3'UTR
S1252	new_3335546_3335614	new_3335546_3335614::AL009126.3:3335545-3335614(+)	3'UTR
S1257	new_3355486_3355592_c	new_3355486_3355592_c::AL009126.3:3355485-3355592(-)	3'UTR
S1296	new_3466157_3466342_c	new_3466157_3466342_c::AL009126.3:3466156-3466342(-)	3'UTR
S1307	new_3509781_3509830_c	new_3509781_3509830_c::AL009126.3:3509780-3509830(-)	3'UTR
S1315	new_3542144_3542334	new_3542144_3542334::AL009126.3:3542143-3542334(+)	3'UTR
S1316	new_3542806_3542942_c	new_3542806_3542942_c::AL009126.3:3542805-3542942(-)	3'UTR
S1323	new_3573056_3573206_c	new_3573056_3573206_c::AL009126.3:3573055-3573206(-)	3'UTR
S1338	new_3605398_3606736_c	new_3605398_3606736_c::AL009126.3:3605397-3606736(-)	3'UTR
S1384	new_3708133_3708785	new_3708133_3708785::AL009126.3:3708132-3708785(+)	3'UTR
S1389	new_3718617_3718717	new_3718617_3718717::AL009126.3:3718616-3718717(+)	3'UTR
S1392	new_3728379_3728510_c	new_3728379_3728510_c::AL009126.3:3728378-3728510(-)	3'UTR
S1399	new_3740106_3740205_c	new_3740106_3740205_c::AL009126.3:3740105-3740205(-)	3'UTR
S1400	new_3741593_3741676	new_3741593_3741676::AL009126.3:3741592-3741676(+)	3'UTR
S1447	new_3823159_3823531_c	new_3823159_3823531_c::AL009126.3:3823158-3823531(-)	3'UTR
S1449	new_3842651_3843000_c	new_3842651_3843000_c::AL009126.3:3842650-3843000(-)	3'UTR
S1453	new_3852070_3852185_c	new_3852070_3852185_c::AL009126.3:3852069-3852185(-)	3'UTR
S1484	new_3966778_3967943_c	new_3966778_3967943_c::AL009126.3:3966777-3967943(-)	3'UTR
S1489	new_3983174_3984118	new_3983174_3984118::AL009126.3:3983173-3984118(+)	3'UTR
S1506	new_4011685_4011824	new_4011685_4011824::AL009126.3:4011684-4011824(+)	3'UTR
S1507	new_4012758_4012865_c	new_4012758_4012865_c::AL009126.3:4012757-4012865(-)	3'UTR
S1541	new_4121082_4121165_c	new_4121082_4121165_c::AL009126.3:4121081-4121165(-)	3'UTR
S1565	new_4173552_4173628	new_4173552_4173628::AL009126.3:4173551-4173628(+)	3'UTR
S1567	new_4176526_4176840	new_4176526_4176840::AL009126.3:4176525-4176840(+)	3'UTR
S1	new_1_148	new_1_148::AL009126.3:0-148(+)	5'
S3	new_150_409	new_150_409::AL009126.3:149-409(+)	5'
S7	new_9529_9614	new_9529_9614::AL009126.3:9528-9614(+)	5'
S10	new_17453_17533	new_17453_17533::AL009126.3:17452-17533(+)	5'
S12	new_18976_19061	new_18976_19061::AL009126.3:18975-19061(+)	5'
S16	new_25655_25851	new_25655_25851::AL009126.3:25654-25851(+)	5'
S17	new_26383_26532	new_26383_26532::AL009126.3:26382-26532(+)	5'
S19	new_30076_30278	new_30076_30278::AL009126.3:30075-30278(+)	5'
S23	new_45224_45399_c	new_45224_45399_c::AL009126.3:45223-45399(-)	5'
S24	new_45524_45632	new_45524_45632::AL009126.3:45523-45632(+)	5'
S27	new_49987_50086	new_49987_50086::AL009126.3:49986-50086(+)	5'
S28	new_51558_51679	new_51558_51679::AL009126.3:51557-51679(+)	5'
S29	new_52649_52719	new_52649_52719::AL009126.3:52648-52719(+)	5'
S30	new_53111_53182	new_53111_53182::AL009126.3:53110-53182(+)	5'
S35	new_64001_64098	new_64001_64098::AL009126.3:64000-64098(+)	5'
S40	new_79027_79091	new_79027_79091::AL009126.3:79026-79091(+)	5'
S43	new_90318_90535	new_90318_90535::AL009126.3:90317-90535(+)	5'
S49	new_118452_118590	new_118452_118590::AL009126.3:118451-118590(+)	5'
S51	new_121686_121918	new_121686_121918::AL009126.3:121685-121918(+)	5'
S55	new_135170_135363	new_135170_135363::AL009126.3:135169-135363(+)	5'
S59	new_154838_155119	new_154838_155119::AL009126.3:154837-155119(+)	5'
S64	new_160675_160892	new_160675_160892::AL009126.3:160674-160892(+)	5'
S66	new_176926_177082	new_176926_177082::AL009126.3:176925-177082(+)	5'
S68	new_196132_196212	new_196132_196212::AL009126.3:196131-196212(+)	5'
S77	new_213878_213940	new_213878_213940::AL009126.3:213877-213940(+)	5'
S80	new_226436_226565	new_226436_226565::AL009126.3:226435-226565(+)	5'
S82	new_235329_235401_c	new_235329_235401_c::AL009126.3:235328-235401(-)	5'
S83	new_235403_235489_c	new_235403_235489_c::AL009126.3:235402-235489(-)	5'
S84	new_238449_238569_c	new_238449_238569_c::AL009126.3:238448-238569(-)	5'
S87	new_246583_246657	new_246583_246657::AL009126.3:246582-246657(+)	5'
S90	new_257545_257726	new_257545_257726::AL009126.3:257544-257726(+)	5'
S91	new_257573_257643_c	new_257573_257643_c::AL009126.3:257572-257643(-)	5'
S92	new_258887_259015	new_258887_259015::AL009126.3:258886-259015(+)	5'
S93	new_261536_261647_c	new_261536_261647_c::AL009126.3:261535-261647(-)	5'
S94	new_267772_267889	new_267772_267889::AL009126.3:267771-267889(+)	5'
S95	new_275603_275837	new_275603_275837::AL009126.3:275602-275837(+)	5'
S96	new_278308_278376	new_278308_278376::AL009126.3:278307-278376(+)	5'
S98	new_282233_283231_c	new_282233_283231_c::AL009126.3:282232-283231(-)	5'
S101	new_300503_300693_c	new_300503_300693_c::AL009126.3:300502-300693(-)	5'
S102	new_302355_302434	new_302355_302434::AL009126.3:302354-302434(+)	5'
S104	new_304308_304389_c	new_304308_304389_c::AL009126.3:304307-304389(-)	5'
S105	new_311859_312061	new_311859_312061::AL009126.3:311858-312061(+)	5'
S106	new_312063_312158	new_312063_312158::AL009126.3:312062-312158(+)	5'
S107	new_325190_325277_c	new_325190_325277_c::AL009126.3:325189-325277(-)	5'
S108	new_327480_327617	new_327480_327617::AL009126.3:327479-327617(+)	5'
S110	new_338187_338287	new_338187_338287::AL009126.3:338186-338287(+)	5'
S112	new_339879_339987	new_339879_339987::AL009126.3:339878-339987(+)	5'
S116	new_347027_347149	new_347027_347149::AL009126.3:347026-347149(+)	5'
S119	new_352793_352857	new_352793_352857::AL009126.3:352792-352857(+)	5'
S123	new_368964_369186	new_368964_369186::AL009126.3:368963-369186(+)	5'
S125	new_372801_375944	new_372801_375944::AL009126.3:372800-375944(+)	5'
S126	new_376667_376967	new_376667_376967::AL009126.3:376666-376967(+)	5'
